Iteration,Misfit
1,30.625912
2,26.40836
3,28.174156
4,30.961668
5,30.961668
6,30.662973
7,30.662973
8,7.680993
9,7.680993
10,25.224115
11,15.239815
12,12.854749
13,30.446642
14,30.446642
15,5.794944
16,5.794944
17,18.750227
18,18.750227
19,30.649176
20,7.9060555
21,7.9060555
22,4.674784
23,4.674784
24,13.001675
25,13.001675
26,30.537292
27,30.764452
28,28.533937
29,19.803713
30,19.803713
31,30.635689
32,30.635689
33,8.013937
34,8.013937
35,4.652202
36,9.971938
37,14.1291065
38,30.596584
39,30.596584
40,6.364744
41,6.364744
42,20.255766
43,29.005608
44,30.609581
45,8.205818
46,8.205818
47,4.6803436
48,4.6803436
49,14.572138
50,14.572138
51,9.475591
52,8.463454
53,6.661963
54,21.170368
55,21.170368
56,30.600552
57,30.600552
58,8.315377
59,8.315377
60,4.933488
61,10.870024
62,30.748089
63,30.66574
64,30.66574
65,6.8343067
66,6.8343067
67,22.338465
68,22.338465
69,11.112603
70,8.503334
71,8.503334
72,4.9696655
73,4.9696655
74,30.77462
75,30.77462
76,30.677685
77,30.677685
78,29.144398
79,5.464381
80,5.464381
81,30.602411
82,30.602411
83,30.164661
84,30.164661
85,27.578377
86,16.91375
87,16.91375
88,9.881664
89,9.881664
90,29.218979
91,29.218979
92,23.7463
93,23.7463
94,12.138976
95,30.23768
96,30.23768
97,27.786537
98,27.786537
99,17.141758
100,10.014784
101,10.014784
102,7.482794
103,7.482794
104,24.440237
105,24.440237
106,30.62486
107,30.62486
108,30.336887
109,28.241844
110,28.241844
111,18.574972
112,18.574972
113,10.171198
114,10.171198
115,7.7699733
116,4.7171063
117,4.7171063
118,30.648434
119,30.648434
120,30.447138
121,30.447138
122,28.4604
123,28.4604
124,19.260015
125,10.448429
126,10.448429
127,29.535734
128,29.535734
129,4.676202
130,4.676202
131,13.398709
132,13.398709
133,9.223926
134,28.649021
135,28.649021
136,20.038628
137,20.038628
138,30.623453
139,30.623453
140,29.704433
141,4.6677084
142,4.6677084
143,14.054737
144,14.054737
145,9.386909
146,9.386909
147,28.837355
148,20.993183
149,20.993183
150,30.60634
151,30.60634
152,29.825855
153,29.825855
154,4.7483954
155,8.624914
156,30.715961
157,9.482688
158,9.482688
159,28.905272
160,28.905272
161,6.204053
162,6.204053
163,11.0542345
164,8.434595
165,8.434595
166,27.10618
167,27.10618
168,30.768293
169,30.768293
170,30.669783
171,6.944662
172,6.944662
173,22.839157
174,22.839157
175,11.395418
176,8.53805
177,8.53805
178,27.247463
179,27.247463
180,16.242111
181,16.242111
182,30.679564
183,30.679564
184,7.1712646
185,5.434055
186,5.434055
187,11.703822
188,11.703822
189,30.225298
190,28.29021
191,5.356746
192,30.864819
193,30.864819
194,9.9666195
195,9.9666195
196,29.30298
197,29.30298
198,24.105433
199,30.61778
200,30.61778
201,30.257366
202,30.257366
203,5.5754657
204,5.5754657
205,17.730114
206,30.670238
207,30.670238
208,29.354553
209,29.354553
210,24.521149
211,24.521149
