Iteration,Misfit
212,30.62419
213,30.62419
214,8.991495
215,28.296236
216,28.296236
217,30.991213
218,30.991213
219,30.651928
220,30.651928
221,29.458881
222,25.752052
223,4.736805
224,30.655827
225,30.655827
226,30.50951
227,30.50951
228,28.474941
229,28.474941
230,20.041952
231,10.384405
232,10.384405
233,8.012436
234,8.012436
235,4.6696672
236,13.86018
237,13.86018
238,9.278722
239,9.278722
240,28.759407
241,28.759407
242,31.195194
243,10.629414
244,10.629414
245,4.813175
246,14.866821
247,30.642914
248,30.471897
249,30.471897
250,5.8774047
251,5.8774047
252,31.026249
253,30.633833
254,30.633833
255,29.599754
256,29.599754
257,4.6532645
258,18.375357
259,30.666086
260,30.525185
261,30.525185
262,28.588863
263,28.588863
264,19.970053
265,19.970053
266,10.52407
267,29.692236
268,29.692236
269,26.0048
270,26.0048
271,14.279197
272,14.279197
273,30.581135
274,30.581135
275,6.369191
276,20.601929
277,20.601929
278,30.607712
279,30.607712
280,29.798237
281,29.798237
282,4.7364345
283,4.7364345
284,14.81248
285,9.47657
286,9.47657
287,28.962488
288,28.962488
289,6.493623
290,6.493623
291,10.998251
292,29.905743
293,29.905743
294,27.105307
295,27.105307
296,30.75227
297,30.75227
298,9.646576
299,8.739412
300,6.886767
301,21.929693
302,21.929693
303,30.597584
304,30.597584
305,8.521882
306,8.521882
307,5.0338664
308,14.438309
309,30.817884
310,9.814788
311,9.814788
312,29.165731
313,29.165731
314,23.36913
315,23.36913
316,11.556107
317,8.68123
318,8.68123
319,27.741058
320,27.741058
321,30.868187
322,30.868187
323,30.68312
324,30.68312
325,29.226797
326,27.454739
327,23.893198
328,12.144422
329,12.144422
330,30.236332
331,30.236332
332,5.3321056
333,5.3321056
334,17.632599
335,10.096864
336,10.096864
337,29.37604
338,29.37604
339,4.8745184
340,4.8745184
341,30.631031
342,30.631031
343,8.91035
344,28.382902
345,28.382902
346,30.96324
347,30.96324
348,10.336859
349,10.336859
350,7.8272753
351,4.6638303
352,4.6638303
353,13.254013
354,13.254013
355,30.468685
356,30.468685
357,6.0247445
358,6.0247445
359,19.214941
360,10.486816
361,10.486816
362,29.617723
363,29.617723
364,25.914648
365,25.914648
366,30.672453
367,30.672453
368,9.254556
369,6.232356
370,6.232356
371,31.177954
372,31.177954
373,10.583352
374,10.583352
375,29.718882
376,29.718882
377,4.654417
378,30.708675
379,30.708675
380,9.397809
381,9.397809
382,28.796959
383,28.796959
384,21.288881
385,21.288881
386,30.604713
387,29.887762
388,29.887762
389,4.7532406
390,4.7532406
391,15.151689
392,15.151689
393,30.659315
394,29.034216
395,29.034216
396,21.799229
397,21.799229
398,10.9884615
399,10.9884615
400,29.913576
401,29.913576
402,27.28098
403,15.536482
404,15.536482
405,9.653786
406,9.653786
407,29.092041
408,29.092041
409,5.640671
410,30.597397
411,30.597397
412,8.561545
413,8.561545
414,27.486732
415,27.486732
416,16.589417
417,16.589417
418,30.682688
419,7.2210765
420,7.2210765
421,5.3602586
422,5.3602586
423,11.912615
424,11.912615
425,8.790502
426,8.790502
427,27.807436
428,17.214443
429,17.214443
430,30.679993
431,30.679993
432,29.314968
433,29.314968
434,24.265383
435,22.748863
436,12.182586
437,30.339342
438,30.339342
439,28.12939
440,28.12939
441,17.524418
442,16.29244
443,10.167034
444,7.610599
445,7.610599
446,4.7960315
447,4.7960315
448,12.727627
449,12.727627
450,9.0031805
451,9.0031805
452,28.342663
453,31.014166
454,31.014166
455,10.239522
456,10.239522
457,7.8628373
458,7.8628373
459,4.668465
460,30.671194
461,30.671194
462,9.107435
463,9.107435
464,28.516481
465,28.516481
466,31.111214
467,31.111214
468,10.518607
469,29.64138
470,29.64138
471,4.651399
472,4.651399
473,13.93236
474,13.93236
475,30.57391
476,30.57391
477,6.3269763
478,20.317343
479,20.317343
480,10.672164
481,10.672164
482,29.731941
483,31.218962
484,4.678477
485,14.301382
486,14.301382
487,30.626062
488,30.626062
489,6.5086417
490,21.300232
491,21.300232
492,10.910043
493,10.910043
494,29.862331
495,30.625101
496,29.684996
497,12.196265
498,4.6885223
499,14.615832
500,14.615832
501,30.608837
502,30.608837
503,28.868128
504,6.673877
505,6.673877
506,10.982776
507,10.982776
508,8.260248
509,8.260248
510,4.758605
511,7.3584213
512,14.916594
513,30.645222
514,30.645222
515,28.942944
516,28.942944
517,6.3247504
518,6.3247504
519,30.598576
520,29.944674
521,29.944674
522,4.899909
523,4.899909
524,30.772007
525,30.772007
526,9.656232
527,13.53209
528,29.107542
529,22.357851
530,22.357851
531,30.598148
532,30.598148
533,8.5683365
534,8.5683365
535,27.592106
536,30.801037
537,30.801037
538,30.683565
539,30.683565
540,29.183739
541,29.183739
542,5.2841487
543,5.2841487
544,30.605597
545,30.16776
546,30.16776
547,27.856293
548,27.856293
549,17.204475
550,17.204475
551,10.007326
552,7.4435067
553,7.4435067
554,24.133936
555,24.133936
556,30.613707
557,30.613707
558,8.872446
559,8.872446
560,5.4839234
561,30.931425
562,30.931425
563,10.149229
564,10.149229
565,29.41619
566,29.41619
567,4.868962
568,12.611366
569,12.611366
570,30.363396
571,30.363396
572,28.409319
573,28.409319
574,19.146471
575,19.146471
576,10.253032
577,18.103558
578,29.525532
579,4.665833
580,4.665833
581,13.301613
582,13.301613
583,9.081619
584,9.081619
585,6.112186
586,31.070482
587,31.070482
588,30.629442
589,30.629442
590,29.594316
591,29.594316
592,4.651503
593,4.651503
594,30.681175
595,30.578308
596,30.578308
597,28.725655
598,28.725655
599,20.35711
600,20.35711
601,10.615969
602,10.615969
603,29.697134
604,4.718069
605,4.718069
606,30.708775
607,30.708775
608,30.638407
609,30.638407
610,28.815979
611,28.815979
612,6.2553744
613,30.601343
614,30.601343
615,8.410707
616,8.410707
617,26.716343
618,26.716343
619,15.126123
620,15.126123
621,30.657246
622,28.993006
623,28.993006
624,22.047714
625,22.047714
626,30.597736
627,30.597736
628,29.979465
629,27.397156
630,27.397156
631,30.801466
632,30.801466
633,9.644193
634,9.644193
635,7.137122
636,5.033809
637,5.4385962
638,30.602083
639,30.602083
640,30.110518
641,30.110518
642,5.140405
643,14.413046
644,30.826471
645,30.683397
646,30.683397
647,7.241261
648,7.241261
649,23.452663
650,23.452663
651,12.007895
652,23.518826
653,30.2722
654,27.961786
655,27.961786
656,30.893318
657,30.893318
658,30.67413
659,28.55185
660,7.4824204
661,24.385357
662,24.385357
663,12.43401
664,12.43401
665,8.904731
666,8.904731
667,28.222958
668,28.222958
669,18.329609
670,10.197611
671,10.197611
672,29.439201
673,29.439201
674,4.7149854
675,4.7149854
676,12.622626
677,11.505276
678,9.014763
679,28.427658
680,28.427658
681,31.076555
682,31.076555
683,10.240843
684,10.240843
685,29.505283
686,12.491635
687,4.6754355
688,13.610343
689,13.610343
690,9.171088
691,9.171088
692,6.1473074
693,6.1473074
694,31.183954
695,29.178698
696,30.62213
697,8.118032
698,8.118032
699,4.6582975
700,4.6582975
701,14.049964
702,14.049964
703,9.3932705
704,28.836811
705,28.836811
706,20.404552
707,20.404552
708,10.765659
709,10.765659
710,8.249729
711,8.249729
712,4.74271
713,14.568261
714,14.568261
715,9.455242
716,9.455242
717,28.881279
718,28.881279
719,21.676527
720,31.2254
721,30.60235
722,29.89152
723,29.89152
724,26.981075
725,26.981075
726,30.784918
727,30.784918
728,30.664436
729,30.664436
730,6.959828
731,6.0221734
732,6.0221734
733,11.417172
734,11.417172
735,30.013647
736,30.013647
737,27.466818
738,33.421238
739,30.799236
740,9.743239
741,9.743239
742,29.141138
743,29.141138
744,23.2781
745,23.2781
746,30.603563
747,25.461601
748,8.688038
749,5.194674
750,5.194674
751,30.848988
752,30.848988
753,30.681513
754,29.239145
755,29.239145
756,23.83352
757,23.83352
758,30.604609
759,30.604609
760,30.900003
761,30.900003
762,10.070515
763,7.619743
764,7.619743
765,4.9491887
766,4.9491887
767,30.628008
768,30.372885
769,30.372885
770,5.791735
771,5.791735
772,18.442041
773,10.263405
774,10.263405
775,29.450588
776,29.450588
777,25.124352
778,25.124352
779,12.823191
780,10.253313
781,9.049898
782,28.51157
783,28.51157
784,19.446714
785,19.446714
786,30.63777
787,31.027338
788,29.589705
789,4.654092
790,4.654092
791,30.686834
792,30.686834
793,9.23002
794,9.23002
795,28.630783
796,6.9691935
797,6.9691935
798,10.64304
799,10.64304
800,8.202017
801,8.202017
802,26.290298
803,27.444181
804,30.692347
805,9.377307
806,9.377307
807,28.852724
808,28.852724
809,20.673986
810,20.673986
811,30.608597
812,29.871016
813,29.871016
814,4.7681055
815,4.7681055
816,30.724571
817,30.652882
818,30.652882
819,6.661695
820,6.661695
821,21.875929
822,21.875929
823,30.597548
824,30.597548
825,29.951408
826,26.908875
827,26.908875
828,15.941589
829,15.941589
830,30.673944
831,30.673944
832,6.9594593
833,6.9594593
834,22.628916
835,11.386707
836,11.386707
837,30.03795
838,30.03795
839,5.144458
840,5.144458
841,30.818611
842,24.04941
843,9.816313
844,29.190596
845,29.190596
846,23.00743
847,23.00743
848,30.604229
849,30.604229
850,8.7186
851,8.7186
852,27.948849
853,30.856583
854,30.856583
855,10.002508
856,10.002508
857,29.248592
858,29.248592
859,23.7384
860,22.350384
861,12.105541
862,8.850826
863,8.850826
864,5.604018
865,5.604018
866,18.104774
867,18.104774
868,10.085515
869,10.085515
870,7.631792
871,4.8132367
872,4.8132367
873,12.696424
874,12.696424
875,8.966012
876,8.966012
877,28.364195
878,19.112936
879,19.112936
880,30.648314
881,30.648314
882,29.51112
883,29.51112
884,25.048843
885,25.048843
886,13.345209
887,30.510807
888,30.510807
889,5.9809275
890,5.9809275
891,19.418499
892,19.418499
893,10.426472
894,10.426472
895,29.660885
896,4.6513505
897,4.6513505
898,13.819389
899,13.819389
900,30.542068
901,30.542068
902,28.756294
903,28.188118
904,20.074986
905,30.611406
906,30.611406
907,8.224342
908,8.224342
909,4.690718
910,4.690718
911,14.343267
912,9.954699
913,9.3597555
914,6.4634824
915,6.4634824
916,6.601488
917,6.601488
918,30.601963
919,30.601963
920,29.879934
921,26.955355
922,26.955355
923,30.741873
924,30.741873
925,9.541488
926,9.541488
927,6.7384377
928,6.7384377
929,22.210608
930,11.1269865
931,11.1269865
932,29.964611
933,29.964611
934,27.180536
935,27.180536
936,15.6725025
937,9.660532
938,9.660532
939,29.048847
940,29.048847
941,22.6514
942,22.6514
943,30.598356
944,30.598356
945,8.661821
946,27.697414
947,27.697414
948,16.684183
949,16.684183
950,30.683765
951,30.683765
952,29.267887
953,5.2537136
954,5.2537136
955,11.8496895
956,11.8496895
957,8.750734
958,8.750734
959,28.108976
960,36.839848
961,30.901266
962,10.026377
963,10.026377
964,29.273933
965,29.273933
966,5.0506806
967,5.0506806
968,12.4601
969,30.286146
970,30.286146
971,28.140354
972,28.140354
973,30.943193
974,30.943193
975,30.669352
976,30.669352
977,7.613856
978,24.60441
979,24.60441
980,30.637686
981,30.637686
982,30.46387
983,30.46387
984,5.8749285
985,14.372269
986,31.050276
987,10.361859
988,10.361859
989,7.984069
990,7.984069
991,4.684848
992,4.684848
993,13.461028
994,30.534426
995,30.534426
996,6.200214
997,6.200214
998,19.272394
999,19.272394
1000,10.576135
